"iNatID","species","long","lat","year","month","day","Nclicks","Rmean","Rvar","Rsd","Gmean","Gvar","Gsd","Bmean","Bvar","Bsd","state","county","elev","AnMnTmp","MnDayRange","Isotherm","TmpSeas","MxTmpWrmMo","MnTempCldMo","TmpAnnRng","MnTmpWetQt","MnTmpDryQt","MnTmpWrmQt","MnTmpCldQt","AnnPrcp","PrcpWetMo","PrcpDryMo","PrcpSeas","PrcpWetQt","PrcpDryQt","PrcpWrmQt","PrcpCldQt","landuse"
61686,"Erysimum capitatum",-121.942592,37.919628,2012,4,1,10,248.3,80.9,8.99444272870754,182.6,558.488888888889,23.6323695149024,6.1,93.4333333333333,9.66609193693777,"California","Contra Costa","228",15.283332824707,13.3666667938232,49.8756217956543,515.096374511719,30.5,3.70000004768372,26.7999992370605,9,21.216667175293,21.5833339691162,9,533,114,1,91.9247589111328,291,7,11,291,"wild"
64084,"Erysimum capitatum",-121.925659,37.89245,2012,4,8,10,253.7,4.9,2.21359436211787,180.8,55.7333333333333,7.46547609555702,0.8,3.73333333333333,1.93218356615859,"California","Contra Costa","642",14.7666664123535,12.1499996185303,45,554.896911621094,30.6000003814697,3.59999990463257,27,8.64999961853027,21.1000003814697,22.0833339691162,8.64999961853027,875,183,2,91.7500152587891,472,11,19,472,"wild"
65171,"Erysimum capitatum",-119.1802453995,34.5275872281,2012,3,23,11,250.363636363636,111.254545454545,10.5477270278741,149.909090909091,138.490909090909,11.7682160538847,0.727272727272727,2.41818181818182,1.55505042303516,"California","Ventura","1153",12.8333330154419,13.533332824707,49.2121200561523,529.078674316406,28.8999996185303,1.39999997615814,27.5,7.30000019073486,19.2999992370605,20,7.30000019073486,450,92,1,95.4250259399414,251,6,11,251,"wild"
70381,"Erysimum × cheiri",-122.668762207,38.4486160278,2012,4,25,10,251,16,4,167.9,3518.98888888889,59.321066147608,76,2731.11111111111,52.2600335927094,"California","Sonoma","66",14.8666667938232,14.8333339691162,55.7644119262695,442.397064208984,29.6000003814697,3,26.6000003814697,9.46666717529297,19.9333343505859,20.0499992370605,9.46666717529297,815,172,1,92.7409133911133,447,9,16,447,"notWild"
71724,"Erysimum",-121.913831082,36.6193480366,2012,4,28,15,252.933333333333,2.78095238095238,1.66761877566558,242.733333333333,195.495238095238,13.981961167706,103.266666666667,1155.35238095238,33.9904748562356,"California","Monterey","19",13.0249996185303,8.98333358764648,64.1666641235352,178.370162963867,20,6,14,10.7666664123535,14.6999998092651,15.1166667938232,10.7666664123535,750,151,3,91.4163055419922,400,11,17,400,"notWild"
77112,"Erysimum capitatum",-122.60973,38.651796,2012,5,10,10,254.2,1.28888888888889,1.13529242439509,171.4,95.8222222222222,9.78888258292142,0.8,0.622222222222222,0.788810637746616,"California","Napa","1049",12.1499996185303,12.9833335876465,48.993709564209,513.309204101562,28,1.5,26.5,7.90000009536743,18.25,19.0499992370605,6.94999980926514,1374,276,3,90.4114837646484,733,21,34,675,"wild"
78145,"Erysimum",-122.1447828533,37.0600382072,2012,5,12,15,250.2,7.02857142857143,2.65114530506561,241.333333333333,379.095238095238,19.4703682064628,46.7333333333333,2058.06666666667,45.3659196607615,"California","Santa Cruz","543",13.3999996185303,12.0500001907349,57.3809547424316,351.296295166016,24.8999996185303,3.90000009536743,21,9.55000019073486,17.3166675567627,17.9833335876465,9.55000019073486,976,199,3,92.2267837524414,520,13,19,520,"notWild"
92596,"Erysimum",-119.0790617466,37.6600848565,2012,6,4,17,245.764705882353,40.9411764705882,6.39852924277042,242.470588235294,60.8897058823529,7.80318562398415,18.5294117647059,317.889705882353,17.829461738436,"California","Madera","2436",5.12916660308838,16.0750007629395,46.5942001342773,659.60546875,24.7000007629395,-9.80000019073486,34.5,-1.5,13.5333337783813,14.0166664123535,-1.98333334922791,528,89,12,66.4508285522461,241,38,47,241,"wild"
96398,"Erysimum ammophilum",-121.8103712816,36.6205108595,2012,4,25,10,249.1,48.3222222222222,6.95141872010471,210,126.444444444444,11.2447518622887,35.6,553.377777777778,23.5239830338694,"California","Monterey","126",13.2875003814697,10.5583333969116,61.0308303833008,234.909317016602,22.1000003814697,4.80000019073486,17.2999992370605,10.3833332061768,15.6000003814697,16.1333332061768,10.3833332061768,694,137,3,90.6642761230469,367,10,16,367,"wild"
112796,"Erysimum",-111.727935,35.163045,2012,8,14,15,245.266666666667,23.6380952380952,4.86190242992342,218.4,74.4,8.62554346113913,13.5333333333333,63.9809523809524,7.99880943521924,"Arizona","Coconino","2171",7.45833349227905,17.5166664123535,46.340389251709,754.29931640625,28.1000003814697,-9.69999980926514,37.7999992370605,16.6833343505859,10.2166662216187,17.0666656494141,-1.36666667461395,553,75,11,41.6340141296387,193,60,154,153,"wild"
120150,"Erysimum capitatum",-120.950438,47.466005,2010,7,31,16,227.25,72.4666666666667,8.51273555719116,213.4375,116.129166666667,10.7763243578999,40.625,276.65,16.6327989226107,"Washington","Chelan","2075",1.44583332538605,9.10833358764648,32.2990531921387,666.590576171875,18.1000003814697,-10.1000003814697,28.2000007629395,-5.33333349227905,10.2333335876465,10.2333335876465,-5.86666679382324,1770,281,41,57.4841270446777,804,171,171,745,"wild"
121441,"Erysimum capitatum",-123.553533,48.00092,2010,7,16,15,250.8,14.6,3.82099463490856,250.733333333333,52.6380952380952,7.25521159154543,100.266666666667,409.352380952381,20.2324585988056,"Washington","Clallam","1210",5.25,7.96666669845581,39.2446632385254,454.797668457031,17.7000007629395,-2.59999990463257,20.3000011444092,0.900000035762787,10.8833332061768,11.4166669845581,0.616666734218597,2505,403,52,62.8453598022461,1168,204,206,1071,"wild"
121771,"Erysimum arenicola",-123.060286,47.872115,2010,7,10,15,246.2,7.74285714285714,2.78259899066631,245.133333333333,55.8380952380952,7.47248922636194,77.3333333333333,188.238095238095,13.7199888935121,"Washington","Clallam","1797",3.05833339691162,7.51666641235352,36.3123970031738,469.481506347656,15.8000001907349,-4.90000009536743,20.7000007629395,-1.20000004768372,8.88333320617676,9.51666641235352,-1.43333339691162,2737,425,63,58.4662895202637,1237,249,251,1140,"wild"
125366,"Erysimum capitatum",-119.9999164073,34.7350916359,2007,4,7,11,250.181818181818,25.3636363636364,5.03623235798711,148.090909090909,87.4909090909091,9.3536575247819,0.818181818181818,1.16363636363636,1.07871977994119,"California","Santa Barbara","1063",12.8583335876465,14.8333330154419,56.1868667602539,442.661529541016,28.5,2.09999990463257,26.3999996185303,8.31666660308838,18.0666656494141,18.8333339691162,8.31666660308838,608,118,1,91.4971771240234,328,8,17,328,"wild"
126804,"Erysimum arenicola",-123.084125,47.828138,2008,7,12,15,248.266666666667,10.4952380952381,3.23963548801992,253.133333333333,4.40952380952381,2.09988661825438,96.2,54.4571428571429,7.37950830727514,"Washington","Jefferson","1304",4.39583349227905,7.97499990463257,36.5825691223145,497.970703125,17.7999992370605,-4,21.7999992370605,-0.383333325386047,10.5500001907349,11.1333332061768,-0.76666671037674,2528,388,57,58.078742980957,1133,223,229,1039,"wild"
144781,"Erysimum capitatum",-118.74839,36.553291,2005,6,24,10,248,46.2222222222222,6.79869268479038,160.2,75.2888888888889,8.67691701521277,1.4,3.15555555555556,1.7763883459299,"California","Tulare","2045",7.91666650772095,13.2166662216187,43.6193618774414,629.957885742188,25.7000007629395,-4.59999990463257,30.3000011444092,1.39999997615814,15.5,16.3999996185303,1.30000007152557,816,155,4,82.725341796875,418,18,35,406,"wild"
167696,"Erysimum capitatum",-121.6429827,37.3417887,2011,6,11,10,252,7.77777777777778,2.78886675511359,228.5,132.055555555556,11.4915427839588,5.1,14.7666666666667,3.84274207652123,"California","Santa Clara","1048",13.2458333969116,10.8416662216187,41.5389518737793,589.793701171875,28.7999992370605,2.70000004768372,26.0999984741211,7.09999990463257,20.0833339691162,21.216667175293,7.09999990463257,1067,210,3,89.7219085693359,558,16,26,558,"wild"
200638,"Erysimum capitatum",-121.936676,37.899594,2013,2,17,10,247.3,32.0111111111111,5.65783625700772,163.3,65.7888888888889,8.11103500725332,3.1,28.1,5.30094331227943,"California","Contra Costa","499",14.9125003814697,12.6083335876465,46.6975326538086,538.457946777344,30.6000003814697,3.59999990463257,27,8.73333358764648,21.1000003814697,21.8666667938232,8.73333358764648,753,159,2,91.6567764282227,407,11,17,407,"wild"
215803,"Erysimum capitatum",-120.0415241718,34.7439597815,2010,5,2,10,251.3,2.67777777777778,1.63639169448448,166.3,18.9,4.34741302385683,2.2,8.62222222222222,2.93636207273937,"California","Santa Barbara","625",14.3916664123535,15.6499996185303,57.5367660522461,416.745147705078,30,2.79999995231628,27.2000007629395,10.1499996185303,19.2666664123535,19.9833335876465,10,518,102,0,94.4838714599609,295,4,12,281,"notWild"
217708,"Erysimum capitatum",-121.18950727,36.4831898,2013,3,16,11,251.636363636364,11.6545454545455,3.41387543043759,186,11.4,3.37638860322683,1.36363636363636,9.25454545454545,3.04212844149379,"California","San Benito","510",14.470832824707,17.5750007629395,54.7507820129395,518.925720214844,33.0999984741211,1,32.0999984741211,9.18333339691162,20.5666656494141,21.2999992370605,8.63333320617676,457,83,1,87.8883438110352,243,6,13,231,"wild"
239140,"Erysimum capitatum",-121.9418961,37.931649,2013,4,17,11,245.545454545455,74.0727272727273,8.60655141579525,193.272727272727,68.0181818181818,8.24731361221227,4.36363636363636,21.4545454545455,4.63190516467527,"California","Contra Costa","219",15.3291664123535,13.4750003814697,49.9074058532715,517.372985839844,30.6000003814697,3.59999990463257,27,9,21.283332824707,21.6333332061768,9,532,114,1,91.3891525268555,289,7,11,289,"notWild"
240281,"Erysimum capitatum",-118.1751680374,34.2172318729,2013,3,23,10,239.5,54.9444444444444,7.41245198597903,227,238.888888888889,15.4560308258262,47.9,98.9888888888889,9.949316001057,"California","Los Angeles","500",16.9916667938232,14.1333332061768,52.3456764221191,471.544036865234,32,5,27,12.216667175293,22.6333332061768,23.3333339691162,11.8333330154419,437,94,1,96.4258880615234,263,6,12,239,"wild"
243210,"Erysimum capitatum",-122.1668919518,37.7900932003,2013,4,19,10,227.3,185.788888888889,13.6304397907364,108.8,343.733333333333,18.540046745716,3.1,19.4333333333333,4.40832545682976,"California","Alameda","209",14.4375,10.908332824707,54.0016479492188,371.196624755859,25.3999996185303,5.19999980926514,20.2000007629395,10.5500001907349,18.3166656494141,18.8833332061768,9.83333301544189,641,132,2,90.4098739624023,344,9,13,339,"notWild"
249514,"Erysimum asperum",-98.702186,34.723134,2013,4,29,16,253.75,1.8,1.34164078649987,233.8125,71.2291666666667,8.4397373576828,12.75,209.266666666667,14.4660522142935,"Oklahoma","Comanche","505",15.8333330154419,13.8166666030884,36.0748481750488,890.49609375,34.7999992370605,-3.5,38.2999992370605,20.3166675567627,4.65000009536743,26.6666660308838,4.65000009536743,784,126,30,44.1831932067871,290,99,212,99,"wild"
250268,"Erysimum capitatum",-122.756692,38.760467,2013,4,27,11,254.272727272727,2.01818181818182,1.42062726222673,174.636363636364,20.4545454545455,4.52267016866645,0.636363636363636,0.454545454545455,0.674199862463242,"California","Sonoma","908",12.3291664123535,13.9916667938232,51.2515258789062,518.540161132812,28.8999996185303,1.60000002384186,27.2999992370605,7.78333330154419,18.5666656494141,19.283332824707,7.01666641235352,1259,255,3,90.7404632568359,677,19,32,669,"wild"
272137,"Erysimum capitatum",-119.63047,37.480988,2013,5,18,10,252.6,4.48888888888889,2.11869981094276,225.1,94.9888888888889,9.74622434016829,3.5,17.3888888888889,4.16999866773227,"California","Mariposa","1590",9.64999961853027,13.5500001907349,45.777027130127,600.965148925781,27.2999992370605,-2.29999995231628,29.5999984741211,3.45000004768372,17.0499992370605,17.7333335876465,3.35000014305115,990,185,6,82.6568145751953,506,26,35,498,"wild"
277792,"Erysimum capitatum",-120.237758,39.432385,2013,5,24,10,252.5,30.5,5.52268050859363,215.4,82.2666666666667,9.07009739014233,0.5,0.5,0.707106781186548,"California","Nevada","1968",5.82916641235352,15.8083333969116,45.1666679382324,688.385681152344,25.8999996185303,-9.10000038146973,35,-2.16666674613953,14.3999996185303,14.6000003814697,-2.16666674613953,831,149,9,73.8198089599609,401,44,46,401,"wild"
278331,"Erysimum",-122.436361,37.687433,2010,12,12,15,226.333333333333,179.380952380952,13.3933174524071,246.2,68.0285714285714,8.24794346662072,242.333333333333,59.2380952380952,7.69662882293899,"California","San Mateo","310",13.6541662216187,10.4750003814697,57.8729286193848,298.217864990234,23.6000003814697,5.5,18.1000003814697,10.1666669845581,16.6499996185303,17.3500003814697,10.1666669845581,918,188,3,90.783073425293,490,13,19,490,"wild"
280080,"Erysimum capitatum",-118.932078,34.592872,2013,5,25,11,253.727272727273,2.41818181818182,1.55505042303516,228.090909090909,826.890909090909,28.7557108952449,29.8181818181818,276.563636363636,16.630202535256,"California","Ventura","1016",14.3500003814697,14.3333330154419,48.9192237854004,575.377319335938,31.1000003814697,1.79999995231628,29.3000011444092,8.13333320617676,21.4166660308838,22,8.13333320617676,407,82,1,93.7101593017578,224,6,10,224,"wild"
280914,"Erysimum capitatum",-118.880417,37.020681,2013,5,26,11,253.181818181818,5.16363636363636,2.27236360726807,251.727272727273,8.81818181818182,2.96954235837474,42.2727272727273,161.218181818182,12.6971721977054,"California","Fresno","2931",2.62916684150696,13.2416667938232,43.4152984619141,625.937316894531,20.2000007629395,-10.3000001907349,30.5,-3.63333320617676,10.2666664123535,11.25,-3.78333330154419,670,122,12,71.6802291870117,321,39,54,308,"wild"
306482,"Erysimum capitatum",-118.896832,37.019893,2013,6,19,10,246.1,64.7666666666667,8.04777401935881,231.8,308.844444444444,17.5739706510636,71.1,3743.87777777778,61.1872354153853,"California","Fresno","2879",2.97083353996277,13.2083330154419,43.4484672546387,622.153381347656,20.5,-9.89999961853027,30.3999996185303,-3.25,10.5833339691162,11.5333337783813,-3.39999985694885,672,123,12,72.4511413574219,324,38,53,311,"wild"
311196,"Erysimum × marshallii",-122.30165,37.875592,2013,6,24,10,247.5,18.0555555555556,4.24918292799399,193.2,29.9555555555556,5.47316686713968,1.4,4.71111111111111,2.17050941281329,"California","Alameda","5",15.0916662216187,10.75,55.6994819641113,337.193176269531,25.2999992370605,6,19.2999992370605,10.7333335876465,18.533332824707,18.8999996185303,10.7333335876465,669,142,2,93.306266784668,367,8,12,367,"notWild"
319163,"Erysimum capitatum",-118.861299,37.021366,2013,6,29,10,253.9,1.21111111111111,1.10050493461461,253.1,24.9888888888889,4.99888876540466,101.2,964.4,31.0547902907104,"California","Fresno","3057",2.09999990463257,13.1500005722046,43.2565803527832,624.201293945312,19.6000003814697,-10.8000001907349,30.4000015258789,-4.01666688919067,9.68333339691162,10.7333335876465,-4.26666688919067,681,123,13,70.0822372436523,323,44,59,309,"wild"
327568,"Erysimum capitatum",-118.876212,37.029726,2013,6,29,10,252.5,2.05555555555556,1.43372087784044,232.3,238.677777777778,15.4491999073667,48.9,796.322222222222,28.2191818134797,"California","Fresno","3041",2.13333344459534,13.1833333969116,43.2240447998047,624.803039550781,19.7000007629395,-10.8000001907349,30.5,-4.01666688919067,9.73333358764648,10.7666673660278,-4.25,684,123,13,70.0695343017578,324,44,59,309,"wild"
333863,"Erysimum",-115.49705,40.36752,2013,6,26,16,244.5625,27.7291666666667,5.26584909265986,233.5,32.5333333333333,5.70379990298865,50.625,164.516666666667,12.8264050562372,"Nevada","Elko","2649",4.80416679382324,13.7249994277954,39.4396553039551,772.076477050781,24.8999996185303,-9.89999961853027,34.7999992370605,1.74999988079071,15,15,-3.61666655540466,505,54,26,21.9854125976562,153,86,86,138,"wild"
352427,"Erysimum capitatum",-119.2545,38.0238333333,2013,7,28,11,253.090909090909,4.89090909090909,2.21153998175685,245.818181818182,129.563636363636,11.3826023546303,4.36363636363636,15.2545454545455,3.90570678041062,"California","Mono","2626",2.87083339691162,16.5249996185303,46.8130302429199,665.672790527344,22.6000003814697,-12.6999998092651,35.2999992370605,-4.59999990463257,11.1833333969116,11.6999998092651,-4.59999990463257,532,86,16,62.045768737793,235,49,55,235,"wild"
359102,"Erysimum capitatum",-118.872960554,37.289897231,2013,7,18,13,254.384615384615,1.08974358974359,1.04390784542678,221.230769230769,41.1923076923077,6.41812337777233,1.23076923076923,3.35897435897436,1.83275049010343,"California","Fresno","3325",0.32083335518837,13.1583337783813,42.4462356567383,648.272033691406,18.1000003814697,-12.8999996185303,31,-6.15000009536743,8.10000038146973,9.30000019073486,-6.26666688919067,701,118,16,63.8642921447754,315,58,72,301,"wild"
393816,"Erysimum capitatum",-116.904788,34.264824,2013,5,2,12,253.333333333333,5.33333333333333,2.3094010767585,241.416666666667,58.2651515151515,7.63316130545867,56.6666666666667,147.151515151515,12.1306024232729,"California","San Bernardino","2082",8.63333320617676,15.6499996185303,47.2809677124023,655.668762207031,27.2999992370605,-5.80000019073486,33.0999984741211,1.89999997615814,14.5999994277954,17,1.10000002384186,778,135,4,77.6234359741211,391,39,43,382,"wild"
539326,"Erysimum arenicola",-121.468706,47.038515,2006,7,22,15,247.8,16.1714285714286,4.0213714789147,252.866666666667,2.6952380952381,1.64171803158706,31,189.714285714286,13.7736809065074,"Washington","Pierce","1577",3.60833334922791,8.16666698455811,33.0634269714355,585.750610351562,18.2999992370605,-6.40000009536743,24.6999988555908,-2.31666660308838,10.8000001907349,11.3000001907349,-2.88333344459534,2157,353,41,60.3525466918945,996,183,190,923,"wild"
553827,"Erysimum capitatum",-121.191795,36.47675,2012,3,25,12,243.083333333333,148.628787878788,12.1913406924254,183.833333333333,565.242424242424,23.7748275333897,12.8333333333333,6.33333333333333,2.51661147842358,"California","San Benito","634",14.0625,17.2583332061768,54.6149787902832,516.800109863281,32.5,0.899999976158142,31.6000003814697,8.80000019073486,20.1666660308838,20.8999996185303,8.35000038146973,526,97,2,87.7566833496094,276,8,15,268,"wild"
573677,"Erysimum capitatum",-121.944981,37.914951,2014,3,17,10,233.2,26.6222222222222,5.15967268557049,188.8,83.0666666666667,9.114091653405,1.4,0.711111111111111,0.843274042711568,"California","Contra Costa","306",15.1625003814697,13.1916666030884,49.2226371765137,519.4189453125,30.5,3.70000004768372,26.7999992370605,8.93333339691162,21.1499996185303,21.6333332061768,8.93333339691162,592,127,1,92.2362289428711,324,8,12,324,"wild"
574726,"Erysimum",-121.13518,38.771288,2014,3,18,15,254.2,0.885714285714286,0.94112394811432,205.066666666667,662.780952380952,25.7445324754782,0.533333333333333,0.552380952380952,0.743223352957207,"California","Placer","166",15.9958333969116,12.7916660308838,43.0695877075195,628.546142578125,33.0999984741211,3.40000009536743,29.6999988555908,8.93333339691162,23.5666656494141,23.5833320617676,8.41666698455811,641,116,3,84.6507263183594,320,13,19,306,"wild"
578579,"Erysimum capitatum",-121.919029,37.87004,2014,3,22,11,253.545454545455,5.47272727272727,2.33938608885478,208.181818181818,580.763636363636,24.0990380796337,7.36363636363636,38.2545454545455,6.18502590572954,"California","Contra Costa","810",14.2291660308838,11.625,43.8679237365723,562.488220214844,30,3.5,26.5,8.23333358764648,20.6333332061768,21.7333335876465,8.23333358764648,1021,208,2,90.775520324707,543,13,22,543,"wild"
580285,"Erysimum capitatum",-121.912998,37.880232,2014,3,23,12,253.75,0.568181818181818,0.753778361444409,254.833333333333,0.151515151515152,0.389249472080761,1.08333333333333,0.628787878787879,0.792961461098759,"California","Contra Costa","993",13.6208333969116,11.0749998092651,42.5961570739746,574.541137695312,29.2999992370605,3.29999995231628,26,7.69999980926514,20.2333335876465,21.3500003814697,7.63333320617676,1181,238,3,90.3770294189453,626,17,27,600,"wild"
600395,"Erysimum capitatum",-117.254333,32.917926,2014,3,29,10,251.7,14.2333333333333,3.77270901784558,242.7,155.566666666667,12.4726367166957,41.3,420.677777777778,20.5104309505621,"California","San Diego","71",16.1291675567627,7.02500009536743,48.784725189209,263.166534423828,23,8.60000038146973,14.3999996185303,13.3833332061768,18.8833332061768,19.716667175293,13.3333339691162,307,62,1,89.0693435668945,175,6,12,160,"wild"
602811,"Erysimum capitatum",-121.932793,37.88847,2014,3,30,10,236,33.3333333333333,5.77350269189626,203.2,443.955555555556,21.070252859317,1.4,2.26666666666667,1.50554530541816,"California","Contra Costa","730",14.5,11.783332824707,44.1323356628418,562.102355957031,30.2999992370605,3.59999990463257,26.6999988555908,8.41666698455811,20.9333324432373,21.966667175293,8.41666698455811,951,197,2,91.47119140625,511,13,21,511,"wild"
605472,"Erysimum capitatum",-121.1363138889,38.7712333333,2014,4,2,10,253.7,1.56666666666667,1.25166555703457,214.1,1289.21111111111,35.905586071127,2.2,21.7333333333333,4.66190232987922,"California","Placer","166",15.9958333969116,12.7916660308838,43.0695877075195,628.546142578125,33.0999984741211,3.40000009536743,29.6999988555908,8.93333339691162,23.5666656494141,23.5833320617676,8.41666698455811,641,116,3,84.6507263183594,320,13,19,306,"wild"
608118,"Erysimum",-122.476433,37.724161,2014,4,4,15,250.533333333333,10.8380952380952,3.2921262488087,250.8,24.8857142857143,4.98855833740714,31.8666666666667,970.266666666667,31.1491037859304,"California","San Francisco","41",13.9416666030884,9.10000038146973,59.477123260498,232.034805297852,22.1000003814697,6.80000019073486,15.3000001907349,10.966667175293,16.033332824707,16.5499992370605,10.966667175293,804,166,3,90.830810546875,434,12,61,434,"notWild"
609736,"Erysimum capitatum",-121.91039,37.886735,2014,4,5,11,254,1.4,1.18321595661992,251.454545454545,39.6727272727273,6.29862899945117,15.9090909090909,176.890909090909,13.3000341763061,"California","Contra Costa","904",13.9291667938232,11.3083333969116,42.9974632263184,573.951477050781,29.7000007629395,3.40000009536743,26.3000011444092,7.89999961853027,20.533332824707,21.6166667938232,7.89999961853027,1101,225,3,90.8527755737305,587,16,26,587,"wild"
610850,"Erysimum capitatum",-106.816807,35.574473,2014,4,5,15,246.866666666667,78.2666666666667,8.84684501201794,247.466666666667,142.838095238095,11.9514892477086,51.9333333333333,1196.49523809524,34.5903922801583,"New Mexico","Sandoval","1754",12.0541667938232,16.7416667938232,42.2769355773926,849.372680664062,32.9000015258789,-6.69999980926514,39.6000022888184,21.9500007629395,6.96666669845581,22.783332824707,1.84999990463257,297,52,15,47.0156669616699,129,49,111,49,"wild"
612286,"Erysimum capitatum",-121.914865,37.882795,2014,3,22,11,254.363636363636,0.854545454545454,0.924416277737175,235,1253.4,35.4033896682225,3.81818181818182,22.1636363636364,4.70782713824928,"California","Contra Costa","993",13.6208333969116,11.0749998092651,42.5961570739746,574.541137695312,29.2999992370605,3.29999995231628,26,7.69999980926514,20.2333335876465,21.3500003814697,7.63333320617676,1181,238,3,90.3770294189453,626,17,27,600,"wild"
623600,"Erysimum capitatum",-121.91199,37.884089,2014,4,5,11,252.181818181818,22.3636363636364,4.72902065586907,235,490.8,22.1540064096768,43.5454545454545,4132.87272727273,64.2874227767199,"California","Contra Costa","904",13.9291667938232,11.3083333969116,42.9974632263184,573.951477050781,29.7000007629395,3.40000009536743,26.3000011444092,7.89999961853027,20.533332824707,21.6166667938232,7.89999961853027,1101,225,3,90.8527755737305,587,16,26,587,"wild"
